open,open close,close,area,adress,name,category,mub
20080702,03,20120202,10.00,중구 대봉동 0214번지 지하1층 ,스위트롤,커피숍,N
20061120,03,20070207,6.60,중구 대봉동 0214번지 대백프라자 지하1층 ,로이손코리아(고구마마을),기타 휴게음식점,N
20180820,03,20191230,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제57호 ,코리아햄버거,일반조리판매,N
20180820,03,20200630,1.44,중구 대신동 0115-0038 서문야시장 판매대 제36호 ,코코넛쉬림프,일반조리판매,N
20160330,03,20191230,20.86,중구 남산동 3006번지 반월당효성해링턴플레이스 304동 105-1호 ,카페전람회,커피숍,N
20161021,03,20180910,41.80,중구 문화동 0016-0007번지 지상1층 ,만두왕찐빵,일반조리판매,N
20160628,03,20190930,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제24호 ,국대닭발,일반조리판매,N
19900726,03,20050307,63.90,"중구 태평로1가 0020-0003번지 ,2(지하1층) ",대한,다방,N
19840125,03,20120131,72.06,"중구 동인동1가 0201-0002번지 ,2(지상1층) ",대영,다방,N
19710209,03,20101112,80.56,"중구 동인동1가 0192-0001번지 ,2(지하1층) ",생수,다방,N
20030127,03,20050407,11.20,중구 삼덕동1가 0018-0002번지 ,빨간머리,과자점,N
20030919,03,20040129,15.99,중구 남산동 0593-0006번지 ,크로바티타운명덕점,커피숍,N
20090323,03,20100219,21.84,중구 삼덕동1가 0012-0009번지 지상 1층 ,부산어묵,일반조리판매,N
20090928,03,20171226,55.08,중구 대봉동 0162-0020번지 ,달콤한 점빵,기타 휴게음식점,N
20091111,03,20100531,30.80,중구 봉산동 0127-0001번지 메트로프라자 D110호 ,Coffee Dall(커피달),커피숍,N
20101230,03,20180918,58.61,"중구 봉산동 0127-0001번지 외 47필지 메트로프라자 지하1층 R304,R305 ",동해,일반조리판매,N
20100127,03,20100507,6.20,중구 대신동 0115-0030번지 동산상가 7열 155호 ,핸즈커피전문점(서문점),커피숍,N
20040906,03,20080703,27.84,중구 대봉동 0214번지 대백프라자지하식품관 ,미가,백화점,N
20001121,03,20070711,16.50,"중구 화전동 0048-0004번지 ,향촌동74-3,75-2,2( ",샌드위치백작,일반조리판매,N
20010202,03,20030205,24.15,"중구 동산동 0562번지 베네시움8층33호,2(지상8층) ",대발이,기타 휴게음식점,N
20050727,03,20070105,22.18,중구 종로2가 64-1번지 ,오곡분식보리밥,기타 휴게음식점,N
20010323,03,20050708,40.86,"중구 대봉동 0040-0010번지 ,111-1 청운상가105호 ",신라명과,과자점,N
20010911,03,20090512,18.50,"중구 대신동 0115-0378번지 ,2(지상1층) ",만남의광장,기타 휴게음식점,N
20020307,03,20111201,52.83,"중구 남산동 0613-0033번지 ,2(지하1층) ",초이스커피숍,다방,N
20060323,03,20100511,64.35,중구 봉산동 0125번지 외5필지(지상2층) ,알렉산드리아,커피숍,N
20060601,03,20110728,4.80,중구 대봉동 0214번지 외2필지(지하1층) ,(주)동양식품,일반조리판매,N
20180905,03,20200624,34.50,중구 동인동3가 0216-0007 지상 1층 ,컵피이월일일,커피숍,N
20160113,03,20200803,52.80,중구 동인동2가 0062-0006 파티오 지상 1층 ,차니노유메,커피숍,N
20180903,03,20190802,22.30,중구 봉산동 0185-0015번지 지상 1층 ,자몽키친,일반조리판매,N
20180904,03,20210802,62.86,중구 동문동 0014-0005 지상 2층 ,오로지케이크,커피숍,N
20200410,03,20200421,,중구 삼덕동3가 0177-0001번지 ,이마트24 삼덕청아람점,편의점,N
20200529,03,20200604,,중구 계산동2가 0200번지 현대백화점식품관 ,닭재이 김재환,일반조리판매,N
20160706,03,20161101,1.44,중구 교동 0079-0001번지 교동야시장 판매대 제14호 ,교동토스트,일반조리판매,N
20160706,03,20161025,1.44,중구 교동 0079-0001번지 교동야시장 판매대 제15호 ,교동불초밥,일반조리판매,N
20160706,03,20170531,1.44,중구 교동 0079-0001번지 교동야시장 판매대 제16호 ,월남쉐프,일반조리판매,N
20160706,03,20161013,1.44,중구 교동 0079-0001번지 교동야시장 판매대 제1호 ,덴마크상회,일반조리판매,N
20160629,03,20170930,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제4호 ,모찌킨,일반조리판매,N
20160629,03,20170930,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제7호 ,한통불막창,일반조리판매,N
20160629,03,20170930,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제9호 ,버거앤,일반조리판매,N
20160629,03,20170216,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제22호 ,소노야,일반조리판매,N
20160629,03,20200930,1.44,중구 대신동 0115-0038 서문야시장 판매대 제39호 ,문어꼬치낙지호롱,일반조리판매,N
20160629,03,20170502,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제42호 ,씨앗닭강정,일반조리판매,N
20160708,03,20171205,20.46,중구 종로1가 0006-0005번지 지상1층 ,쥬스팩토리,커피숍,N
20160706,03,20161031,1.44,중구 교동 0079-0001번지 교동야시장 판매대 제4호 ,실크로드,일반조리판매,N
20160706,03,20170531,1.44,중구 교동 0079-0001번지 교동야시장 판매대 제5호 ,부산어묵,일반조리판매,N
20160706,03,20170531,1.44,중구 교동 0079-0001번지 교동야시장 판매대 제6호 ,오떡후,일반조리판매,N
20160706,03,20161116,1.44,중구 교동 0079-0001번지 교동야시장 판매대 제7호 ,돈밥스,일반조리판매,N
20160706,03,20161017,1.44,중구 교동 0079-0001번지 교동야시장 판매대 제8호 ,자연주의,일반조리판매,N
20160706,03,20161019,1.44,중구 교동 0079-0001번지 교동야시장 판매대 제9호 ,한끼닭,일반조리판매,N
20160706,03,20180531,1.44,중구 교동 0079-0001번지 교동야시장 판매대 제10호 ,교동선수,일반조리판매,N
20160909,03,20180604,123.60,중구 대봉동 214번지 지상1층 ,분더브레드,커피숍,N
20160706,03,20170320,1.44,중구 교동 0079-0001번지 교동야시장 판매대 제11호 ,국화루,일반조리판매,N
20160706,03,20170426,1.44,중구 교동 0079-0001번지 교동야시장 판매대 제12호 ,에스팬케익(S팬케익),일반조리판매,N
20160706,03,20170110,1.44,중구 교동 0079-0001번지 교동야시장 판매대 제13호 ,구슬고로케밥,일반조리판매,N
20160711,03,20160811,12.00,중구 계산동2가 0200번지 현대백화점 식품관 ,핫텐도,백화점,N
20160712,03,20160821,3.70,중구 대봉동 0214-0031번지 신천둔지 푸드트럭 제1호 ,마이츄,푸드트럭,N
20160715,03,20160821,5.40,중구 대봉동 0214-0031번지 신천둔치 푸드트럭 제2호 ,브라움카페,푸드트럭,N
20160715,03,20160821,5.40,중구 대봉동 0214-0031번지 신천둔치 푸드트럭 제3호 ,지엔케이푸드(G&KFood),푸드트럭,N
20160718,03,20201201,77.83,중구 남산동 0735-0018 지상1층 ,아트갤러리엠,커피숍,N
20160718,03,20190607,32.69,중구 삼덕동3가 0243-0004번지 지상1층 ,언솔티드버터(UNSALTEDBUTTER),커피숍,N
20160718,03,20190207,9.52,중구 대봉동 0214번지 대백프라자 식품관 ,요술닭강정,일반조리판매,N
20160909,03,20190228,16.90,중구 사일동 0015-0001번지 동성로파티 식품관 ,보일스커피,백화점,N
20160725,03,20200204,34.13,중구 대신동 1748번지 대신센트럴자이 상가 302동 108호 ,별식피엠4(별식p.m.4),일반조리판매,N
20160920,03,20210119,9.49,중구 봉산동 0001-0002 지상1층 ,중앙닭강정,일반조리판매,N
20160921,03,20190730,45.80,중구 삼덕동3가 0343-0004번지 지상1층 ,페이보릿(favorite),커피숍,N
20160922,03,20200925,35.48,중구 대봉동 0002-0031 지상1층 ,마리웨일마카롱김광석거리점,커피숍,N
20160518,03,20181228,34.82,중구 북성로1가 0045-0016번지 지상1층 ,카페264,커피숍,N
20160428,03,20170525,71.89,중구 대봉동 0117-0017번지 지상1층 ,에이폼(APom),커피숍,N
20160518,03,20181116,90.39,중구 문화동 0006-0002번지 지상1층 ,하바나교동점,커피숍,N
20160519,03,20190417,40.34,중구 수동 0027-0001번지 지상1층 ,"착한커피,생과일쥬스",커피숍,N
20160519,03,20171218,27.45,중구 공평동 0063번지 지상1층 ,장우손부산어묵,일반조리판매,N
20160520,03,20161122,33.12,중구 대봉동 0121-0205번지 지상1층 ,아뜌팽(as tu faim?),커피숍,N
20160526,03,20160616,,중구 계산동2가 0200번지 현대백화점 4층 ,카페오웬,커피숍,N
20160526,03,20160623,,중구 대신동 1679번지 지상1층 ,몰리즈카페(Molliscafe),커피숍,N
20160428,03,20160729,19.80,중구 사일동 0069번지 지상1층 ,행운상자,커피숍,N
20160429,03,20171114,48.54,중구 동인동4가 0426-0003번지 지상1층 ,모모상점,커피숍,N
20160502,03,20200818,12.56,중구 삼덕동3가 0276-0003 지상1층 ,카린노이에,커피숍,N
20160503,03,20201228,40.33,중구 봉산동 0152-0004 지상1층 ,미쓰블루,커피숍,N
20160509,03,20160622,30.05,중구 동인동4가 0452-0001번지 금호맨션 9호 ,시인보호구역,커피숍,N
20160512,03,20161102,8.00,중구 계산동2가 0200번지 현대백화점 식품관(B1) ,전구소다,백화점,N
20160517,03,20170320,26.11,중구 대봉동 0055-0061번지 대구맨션B동상가9호 ,티모닝,커피숍,N
20160726,03,20170131,10.00,중구 계산동2가 200번지 지하1층 ,몽슈슈,일반조리판매,N
20160729,03,20170619,,중구 계산동2가 0200번지 현대백화점 식품관 ,모찌에빠진과일,백화점,N
20160729,03,20171229,51.89,중구 동성로2가 0088-0022번지 씨네시티한일 지하1층 ,사각커피,커피숍,N
20160615,03,20161230,35.76,중구 대봉동 0024-0003번지 지상1층 ,카페하루,커피숍,N
20160617,03,20170515,36.20,중구 대봉동 0036-0006번지 지상1층 ,러니브니카페,커피숍,N
20160617,03,20210304,185.80,중구 공평동 0089-0001 지상2층 ,오하이오,커피숍,Y
20160620,03,20210316,36.34,중구 계산동2가 0200 현대백화점 3층 ,어반팟,커피숍,N
20160620,03,20171220,6.16,중구 계산동2가 0200번지 현대백화점 식품관 ,키스더티라미수,아이스크림,N
20160621,03,20200821,41.17,중구 남산동 2112-0003 지상1층 ,밤바리,커피숍,N
20160622,03,20170703,120.85,중구 시장북로 0154-0007번지 지상1층 ,335옛날국수팥빙수,일반조리판매,N
20160603,03,20170221,95.66,중구 삼덕동3가 0133-0002번지 지상2층 ,파라볼라,커피숍,N
20160610,03,20160620,,중구 계산동2가 0200번지 현대백화점 식품관 ,키스더티라미수,백화점,N
20160610,03,20180601,11.85,"중구 대신동 2105번지 지하 서 179,180,181호 ",장여사의나뭇잎형손만두,일반조리판매,N
